Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
21/06/2022,7.2,11.3,16.3,11.9,79.4,78.9,0,5.1,23.4,0,109.5,1.1,12.8
22/06/2022,8.8,13,18.5,13.4,80.7,80.2,0,5.7,24.3,0,106.6,1.1,13.2
23/06/2022,7.3,13.5,20.8,14.1,69.6,68.8,0,4.6,20.9,0,124,1.2,13.5
24/06/2022,10.8,13.2,16.4,13.6,76.1,75.2,0,4,18.4,0.2,66.8,1.8,13.7
25/06/2022,5,10.6,16.8,11.3,81,80.3,0,3.6,21.8,0.2,93.1,0.8,13.4
26/06/2022,5.6,10.7,16.7,11.4,80.9,80.3,0,5.6,28.5,0,106.1,1.1,12.7
27/06/2022,-0.7,6,13.3,7.1,79.5,78.5,0,1.6,15.9,0,134.5,1,11.7
28/06/2022,-0.9,7.2,15.5,8.1,72.6,71.8,0,3.9,26,0,146.7,0.9,10.7
29/06/2022,4.3,8.6,14.4,9.5,65.7,65.2,0,3,12.5,0,65.7,1.2,10.6
30/06/2022,3.6,8.4,15.3,9.3,85.2,84.4,0,3.4,21.8,0,113.3,0.9,10.9
01/07/2022,4.6,8.6,13,9.4,79.5,79.5,0,5,24.3,0,75.4,0.9,10.8
02/07/2022,5.1,8.2,11.8,9,69.6,69.1,0,4.8,20.9,0,80.5,1.1,10.6
03/07/2022,3.2,7.6,13.4,8.6,76.6,76.3,0,5.9,22.6,0,94.3,1,10.2
04/07/2022,3.1,8,14.6,8.9,73.8,73.3,0,5.6,26.8,0,142.2,1.1,10.1
05/07/2022,0.3,6.8,15.2,8.1,84.3,83,0,3.5,21.8,0,135.1,1.2,10.2
06/07/2022,-2.1,5.4,14.7,6.3,83.2,81.7,0,2.4,18.4,0,141,0.9,9.9
07/07/2022,1.4,8.8,15.9,9.5,79.6,79.8,0,4.9,26,0,88.5,1,10
08/07/2022,5.6,9.5,16.2,10.2,81.6,81.7,0,6.6,31,0,105.8,1.1,10.3
09/07/2022,0.8,7.5,14.3,8.3,89.9,90.2,0,3.6,26,1,111.6,1.1,10.6
10/07/2022,-1.5,6.4,15,7.1,80.2,79.8,0,2.7,19.3,0.2,132.8,0.9,9.5
11/07/2022,2.3,8.6,13.6,9.3,74,74.3,0,2.7,16.7,1.8,51.9,1.1,9.6
12/07/2022,6.2,9.5,14.5,10.1,87.3,88.2,0,5.9,26,3.4,114.6,0.8,10.8
13/07/2022,3.1,8.3,14.1,9.1,84.9,84.7,0,3.9,17.6,0.2,118.7,1,10.4
14/07/2022,6.9,9.5,12.7,10.2,80.1,80,0,1.7,11.7,0,66.7,1,11
15/07/2022,1.4,8.2,13.7,9,76.8,76.3,0,4.2,22.6,0,116.8,0.8,10.5
16/07/2022,7.2,12.7,19.6,13.1,50.2,49.8,0,8.1,31.8,0,86.3,1.4,10.8
17/07/2022,6.8,11.6,15.6,11.9,80.9,81.1,0,9.4,41,1.2,89.7,2.3,12
18/07/2022,2,7.5,13.5,8.5,84.5,84.1,0,2.9,31,0,115.5,1.1,10.8
19/07/2022,6.3,8.4,10.9,9.1,71.2,71.9,0,4.5,18.4,0,56.8,1,10.7
20/07/2022,6,8.5,13.6,9.3,73.1,73.1,0,6.6,22.6,0,91.9,1.2,10.2
21/07/2022,4.4,10.4,17.4,11.2,72.9,72.3,0,7.8,30.1,0,166.8,1.3,10.4
22/07/2022,12.9,14.3,16.9,14.6,63.3,62.7,0,5.6,17.6,0,44.7,,12.1
23/07/2022,9.3,14,20.6,14.5,69.2,68.4,0,4.3,20.1,0,116,1.5,13
24/07/2022,4.8,13.1,20.9,13.6,72.3,71.8,0,4.5,24.3,0,149.3,1.4,13.2
25/07/2022,7.8,13,17.4,13.3,74.5,75.2,0,9,41,1.2,109.8,1.8,13.8
26/07/2022,5,9.7,16.1,10.4,71.7,71.7,0,8.3,33.5,0,143.3,1.8,12.1
27/07/2022,3.3,8.5,15.7,9.4,79.4,79.1,0,4.2,23.4,0,125.9,1.5,11.1
28/07/2022,2.7,9.5,17.4,10.4,76.4,76,0,4.4,23.4,0,154.9,1.3,11
29/07/2022,1.2,7.7,15,8.7,77.4,76.8,0,3.5,21.8,0,152.4,1.5,11.2
30/07/2022,3.9,10.2,16.3,10.8,59.7,60,0,6.2,25.1,0,97.4,1.6,10.5
31/07/2022,6,10.9,15.7,11.3,67.1,67.6,0,6.5,32.7,1.2,35.2,2,11
01/08/2022,4.3,9.5,17.5,10.3,77.5,77.1,0,5.7,27.6,0.2,164,1.1,11
02/08/2022,3.4,11.7,18.3,12.2,58.8,59,0,10.1,40.2,1.2,99.4,1.7,10.8
03/08/2022,9.3,17,24.3,17.3,57.1,56.1,0,9.3,36,0.2,166.8,2.8,13.1
04/08/2022,8.1,14.9,21.8,15.2,56.7,56,0,10.7,49.5,0,169.9,2.7,13.7
05/08/2022,9,12.2,16.3,12.5,67.9,68,0,11.5,37.7,1.2,113.4,3.4,12.6
06/08/2022,5.8,10.3,16.1,10.7,82,84,0,8.3,32.7,2.8,118.1,1.9,12.1
07/08/2022,6.4,9.3,15.3,10.1,87.4,87.2,0,3.8,16.7,0.8,99.1,1.3,11.7
08/08/2022,1.2,7.7,15.7,8.8,83.7,83.3,0,1.1,13.4,0,133.1,1.1,11.8
09/08/2022,1.5,9.7,18.1,10.5,69.5,69.6,0,4.7,22.6,0,178.5,1.3,11.5
10/08/2022,7.6,11.4,15,11.8,59.4,59.7,0,7.7,25.1,0.4,42.1,2.3,11.3
11/08/2022,7.8,14.6,19.4,14.9,50.6,50.6,0,7.8,36,0.8,181.9,1.7,12.9
12/08/2022,8.2,11.6,16.9,11.9,79.5,80.4,0,9.1,35.2,3.6,105,3.1,13
13/08/2022,7.1,10.1,14.8,10.6,85.7,87.1,0,6.4,27.6,3.4,102.5,1.4,12.1
